LbFVorf5	YP_009345609.1
LbFVorf10	YP_009345614.1
LbFVorf72	YP_009345676.1
LbFVorf83	YP_009345687.1
LbFVorf87	YP_009345691.1
LbFVorf94	YP_009345698.1
LbFVorf108	YP_009345712.1
LbFVorf60(lcat)	YP_009345664.1
LbFVorf107(lef-4)	YP_009345711.1
LbFVorf38(lef-5)	LbFV_lef5
LbFVorf96(lef-8)	YP_009345700.1
LbFVorf78(lef-9)	YP_009345682.1
LbFVDNApol	YP_009345662.1
LbFVorf68(helicase2)	YP_009345672.1
LbFVorf92	YP_009345696.1
LbFVorf85(Ac81)	YP_009345689.1
LbFVJmJC1	YP_009345617.1
LbFVJmJC2	YP_009345615.1
PcFVorf87-like	WNK26554.1

LbFVorf105	YP_009345709.1
LbFVorf106(Odv-e66)	YP_009345710.1
LbFVorf2(integrase)	YP_009345606.1
LbFVorf19(38k)	YP_009345623.1
